"pair_id","sample_a_1","sample_b_1","count_1","sample_a_2","sample_b_2","count_2","diff","abs_diff","rel_diff"
"CDIF_SB_1000||CDIF_SB_1168","CDIF_SB_1000","CDIF_SB_1168",9257,"CDIF_SB_1000","CDIF_SB_1168",9257,0,0,0
"CDIF_SB_1000||CDIF_SB_1174","CDIF_SB_1000","CDIF_SB_1174",6647,"CDIF_SB_1000","CDIF_SB_1174",6647,0,0,0
"CDIF_SB_1000||CDIF_SB_1175","CDIF_SB_1000","CDIF_SB_1175",5096,"CDIF_SB_1000","CDIF_SB_1175",5096,0,0,0
"CDIF_SB_1000||CDIF_SB_1178","CDIF_SB_1000","CDIF_SB_1178",1841,"CDIF_SB_1000","CDIF_SB_1178",1841,0,0,0
"CDIF_SB_1000||CDIF_SB_1179","CDIF_SB_1000","CDIF_SB_1179",5096,"CDIF_SB_1000","CDIF_SB_1179",5096,0,0,0
"CDIF_SB_1000||CDIF_SB_1186","CDIF_SB_1000","CDIF_SB_1186",9227,"CDIF_SB_1000","CDIF_SB_1186",9227,0,0,0
"CDIF_SB_1000||CDIF_SB_120","CDIF_SB_1000","CDIF_SB_120",9243,"CDIF_SB_1000","CDIF_SB_120",9243,0,0,0
"CDIF_SB_1000||CDIF_SB_1203","CDIF_SB_1000","CDIF_SB_1203",12,"CDIF_SB_1000","CDIF_SB_1203",12,0,0,0
"CDIF_SB_1000||CDIF_SB_1206","CDIF_SB_1000","CDIF_SB_1206",9242,"CDIF_SB_1000","CDIF_SB_1206",9242,0,0,0
"CDIF_SB_1000||CDIF_SB_1216","CDIF_SB_1000","CDIF_SB_1216",7062,"CDIF_SB_1000","CDIF_SB_1216",7062,0,0,0
"CDIF_SB_1000||CDIF_SB_1221","CDIF_SB_1000","CDIF_SB_1221",9243,"CDIF_SB_1000","CDIF_SB_1221",9243,0,0,0
"CDIF_SB_1000||CDIF_SB_1224","CDIF_SB_1000","CDIF_SB_1224",9242,"CDIF_SB_1000","CDIF_SB_1224",9242,0,0,0
"CDIF_SB_1000||CDIF_SB_1227","CDIF_SB_1000","CDIF_SB_1227",9247,"CDIF_SB_1000","CDIF_SB_1227",9247,0,0,0
"CDIF_SB_1000||CDIF_SB_1234","CDIF_SB_1000","CDIF_SB_1234",9225,"CDIF_SB_1000","CDIF_SB_1234",9225,0,0,0
"CDIF_SB_1000||CDIF_SB_1237","CDIF_SB_1000","CDIF_SB_1237",6469,"CDIF_SB_1000","CDIF_SB_1237",6469,0,0,0
"CDIF_SB_1000||CDIF_SB_1240","CDIF_SB_1000","CDIF_SB_1240",9516,"CDIF_SB_1000","CDIF_SB_1240",9516,0,0,0
"CDIF_SB_1000||CDIF_SB_1242","CDIF_SB_1000","CDIF_SB_1242",9249,"CDIF_SB_1000","CDIF_SB_1242",9249,0,0,0
"CDIF_SB_1000||CDIF_SB_1247","CDIF_SB_1000","CDIF_SB_1247",14363,"CDIF_SB_1000","CDIF_SB_1247",14363,0,0,0
"CDIF_SB_1000||CDIF_SB_1249","CDIF_SB_1000","CDIF_SB_1249",10427,"CDIF_SB_1000","CDIF_SB_1249",10427,0,0,0
"CDIF_SB_1000||CDIF_SB_1258","CDIF_SB_1000","CDIF_SB_1258",16244,"CDIF_SB_1000","CDIF_SB_1258",16244,0,0,0
"CDIF_SB_1000||CDIF_SB_1259","CDIF_SB_1000","CDIF_SB_1259",9236,"CDIF_SB_1000","CDIF_SB_1259",9236,0,0,0
"CDIF_SB_1000||CDIF_SB_1277","CDIF_SB_1000","CDIF_SB_1277",9245,"CDIF_SB_1000","CDIF_SB_1277",9245,0,0,0
"CDIF_SB_1000||CDIF_SB_1278","CDIF_SB_1000","CDIF_SB_1278",1805,"CDIF_SB_1000","CDIF_SB_1278",1805,0,0,0
"CDIF_SB_1000||CDIF_SB_1284","CDIF_SB_1000","CDIF_SB_1284",9223,"CDIF_SB_1000","CDIF_SB_1284",9223,0,0,0
"CDIF_SB_1000||CDIF_SB_1290","CDIF_SB_1000","CDIF_SB_1290",6422,"CDIF_SB_1000","CDIF_SB_1290",6422,0,0,0
"CDIF_SB_1000||CDIF_SB_1295","CDIF_SB_1000","CDIF_SB_1295",1844,"CDIF_SB_1000","CDIF_SB_1295",1844,0,0,0
"CDIF_SB_1000||CDIF_SB_1297","CDIF_SB_1000","CDIF_SB_1297",9223,"CDIF_SB_1000","CDIF_SB_1297",9223,0,0,0
"CDIF_SB_1000||CDIF_SB_1298","CDIF_SB_1000","CDIF_SB_1298",9227,"CDIF_SB_1000","CDIF_SB_1298",9227,0,0,0
"CDIF_SB_1000||CDIF_SB_1308","CDIF_SB_1000","CDIF_SB_1308",0,"CDIF_SB_1000","CDIF_SB_1308",0,0,0,0
"CDIF_SB_1000||CDIF_SB_1309","CDIF_SB_1000","CDIF_SB_1309",9524,"CDIF_SB_1000","CDIF_SB_1309",9524,0,0,0
"CDIF_SB_1000||CDIF_SB_1312","CDIF_SB_1000","CDIF_SB_1312",9244,"CDIF_SB_1000","CDIF_SB_1312",9244,0,0,0
"CDIF_SB_1000||CDIF_SB_1325","CDIF_SB_1000","CDIF_SB_1325",9248,"CDIF_SB_1000","CDIF_SB_1325",9248,0,0,0
"CDIF_SB_1000||CDIF_SB_1349","CDIF_SB_1000","CDIF_SB_1349",7155,"CDIF_SB_1000","CDIF_SB_1349",7155,0,0,0
"CDIF_SB_1000||CDIF_SB_135","CDIF_SB_1000","CDIF_SB_135",9249,"CDIF_SB_1000","CDIF_SB_135",9249,0,0,0
"CDIF_SB_1000||CDIF_SB_1355","CDIF_SB_1000","CDIF_SB_1355",9227,"CDIF_SB_1000","CDIF_SB_1355",9227,0,0,0
"CDIF_SB_1000||CDIF_SB_1356","CDIF_SB_1000","CDIF_SB_1356",9549,"CDIF_SB_1000","CDIF_SB_1356",9549,0,0,0
"CDIF_SB_1000||CDIF_SB_1360","CDIF_SB_1000","CDIF_SB_1360",9228,"CDIF_SB_1000","CDIF_SB_1360",9228,0,0,0
"CDIF_SB_1000||CDIF_SB_1367","CDIF_SB_1000","CDIF_SB_1367",1838,"CDIF_SB_1000","CDIF_SB_1367",1838,0,0,0
"CDIF_SB_1000||CDIF_SB_1369","CDIF_SB_1000","CDIF_SB_1369",5933,"CDIF_SB_1000","CDIF_SB_1369",5933,0,0,0
"CDIF_SB_1000||CDIF_SB_1377","CDIF_SB_1000","CDIF_SB_1377",5355,"CDIF_SB_1000","CDIF_SB_1377",5355,0,0,0
"CDIF_SB_1000||CDIF_SB_1382","CDIF_SB_1000","CDIF_SB_1382",9223,"CDIF_SB_1000","CDIF_SB_1382",9223,0,0,0
"CDIF_SB_1000||CDIF_SB_1389","CDIF_SB_1000","CDIF_SB_1389",16105,"CDIF_SB_1000","CDIF_SB_1389",16105,0,0,0
"CDIF_SB_1000||CDIF_SB_1410","CDIF_SB_1000","CDIF_SB_1410",6834,"CDIF_SB_1000","CDIF_SB_1410",6834,0,0,0
"CDIF_SB_1000||CDIF_SB_1439","CDIF_SB_1000","CDIF_SB_1439",6263,"CDIF_SB_1000","CDIF_SB_1439",6263,0,0,0
"CDIF_SB_1000||CDIF_SB_1454","CDIF_SB_1000","CDIF_SB_1454",9232,"CDIF_SB_1000","CDIF_SB_1454",9232,0,0,0
"CDIF_SB_1000||CDIF_SB_1463","CDIF_SB_1000","CDIF_SB_1463",5355,"CDIF_SB_1000","CDIF_SB_1463",5355,0,0,0
"CDIF_SB_1000||CDIF_SB_1486","CDIF_SB_1000","CDIF_SB_1486",9245,"CDIF_SB_1000","CDIF_SB_1486",9245,0,0,0
"CDIF_SB_1000||CDIF_SB_1487","CDIF_SB_1000","CDIF_SB_1487",5094,"CDIF_SB_1000","CDIF_SB_1487",5094,0,0,0
"CDIF_SB_1000||CDIF_SB_1489","CDIF_SB_1000","CDIF_SB_1489",9258,"CDIF_SB_1000","CDIF_SB_1489",9258,0,0,0
"CDIF_SB_1000||CDIF_SB_1490","CDIF_SB_1000","CDIF_SB_1490",9251,"CDIF_SB_1000","CDIF_SB_1490",9251,0,0,0
"CDIF_SB_1000||CDIF_SB_1494","CDIF_SB_1000","CDIF_SB_1494",5096,"CDIF_SB_1000","CDIF_SB_1494",5096,0,0,0
"CDIF_SB_1000||CDIF_SB_1501","CDIF_SB_1000","CDIF_SB_1501",10095,"CDIF_SB_1000","CDIF_SB_1501",10095,0,0,0
"CDIF_SB_1000||CDIF_SB_1521","CDIF_SB_1000","CDIF_SB_1521",5095,"CDIF_SB_1000","CDIF_SB_1521",5095,0,0,0
"CDIF_SB_1000||CDIF_SB_1522","CDIF_SB_1000","CDIF_SB_1522",9241,"CDIF_SB_1000","CDIF_SB_1522",9241,0,0,0
"CDIF_SB_1000||CDIF_SB_1527","CDIF_SB_1000","CDIF_SB_1527",9241,"CDIF_SB_1000","CDIF_SB_1527",9241,0,0,0
"CDIF_SB_1000||CDIF_SB_1530","CDIF_SB_1000","CDIF_SB_1530",9226,"CDIF_SB_1000","CDIF_SB_1530",9226,0,0,0
"CDIF_SB_1000||CDIF_SB_1536","CDIF_SB_1000","CDIF_SB_1536",9223,"CDIF_SB_1000","CDIF_SB_1536",9223,0,0,0
"CDIF_SB_1000||CDIF_SB_1539","CDIF_SB_1000","CDIF_SB_1539",10666,"CDIF_SB_1000","CDIF_SB_1539",10666,0,0,0
"CDIF_SB_1000||CDIF_SB_1569","CDIF_SB_1000","CDIF_SB_1569",9524,"CDIF_SB_1000","CDIF_SB_1569",9524,0,0,0
"CDIF_SB_1000||CDIF_SB_1570","CDIF_SB_1000","CDIF_SB_1570",5192,"CDIF_SB_1000","CDIF_SB_1570",5192,0,0,0
"CDIF_SB_1000||CDIF_SB_1572","CDIF_SB_1000","CDIF_SB_1572",9329,"CDIF_SB_1000","CDIF_SB_1572",9329,0,0,0
"CDIF_SB_1000||CDIF_SB_1579","CDIF_SB_1000","CDIF_SB_1579",1836,"CDIF_SB_1000","CDIF_SB_1579",1836,0,0,0
"CDIF_SB_1000||CDIF_SB_159","CDIF_SB_1000","CDIF_SB_159",15856,"CDIF_SB_1000","CDIF_SB_159",15856,0,0,0
"CDIF_SB_1000||CDIF_SB_1592","CDIF_SB_1000","CDIF_SB_1592",5184,"CDIF_SB_1000","CDIF_SB_1592",5184,0,0,0
"CDIF_SB_1000||CDIF_SB_1593","CDIF_SB_1000","CDIF_SB_1593",6857,"CDIF_SB_1000","CDIF_SB_1593",6857,0,0,0
"CDIF_SB_1000||CDIF_SB_1594","CDIF_SB_1000","CDIF_SB_1594",10292,"CDIF_SB_1000","CDIF_SB_1594",10292,0,0,0
"CDIF_SB_1000||CDIF_SB_1599","CDIF_SB_1000","CDIF_SB_1599",9256,"CDIF_SB_1000","CDIF_SB_1599",9256,0,0,0
"CDIF_SB_1000||CDIF_SB_16","CDIF_SB_1000","CDIF_SB_16",14034,"CDIF_SB_1000","CDIF_SB_16",14034,0,0,0
"CDIF_SB_1000||CDIF_SB_160","CDIF_SB_1000","CDIF_SB_160",9519,"CDIF_SB_1000","CDIF_SB_160",9519,0,0,0
"CDIF_SB_1000||CDIF_SB_161","CDIF_SB_1000","CDIF_SB_161",1843,"CDIF_SB_1000","CDIF_SB_161",1843,0,0,0
"CDIF_SB_1000||CDIF_SB_1610","CDIF_SB_1000","CDIF_SB_1610",13888,"CDIF_SB_1000","CDIF_SB_1610",13888,0,0,0
"CDIF_SB_1000||CDIF_SB_1612","CDIF_SB_1000","CDIF_SB_1612",6104,"CDIF_SB_1000","CDIF_SB_1612",6104,0,0,0
"CDIF_SB_1000||CDIF_SB_1620","CDIF_SB_1000","CDIF_SB_1620",9229,"CDIF_SB_1000","CDIF_SB_1620",9229,0,0,0
"CDIF_SB_1000||CDIF_SB_1634","CDIF_SB_1000","CDIF_SB_1634",5562,"CDIF_SB_1000","CDIF_SB_1634",5562,0,0,0
"CDIF_SB_1000||CDIF_SB_1642","CDIF_SB_1000","CDIF_SB_1642",9248,"CDIF_SB_1000","CDIF_SB_1642",9248,0,0,0
"CDIF_SB_1000||CDIF_SB_1655","CDIF_SB_1000","CDIF_SB_1655",7866,"CDIF_SB_1000","CDIF_SB_1655",7866,0,0,0
"CDIF_SB_1000||CDIF_SB_1660","CDIF_SB_1000","CDIF_SB_1660",9228,"CDIF_SB_1000","CDIF_SB_1660",9228,0,0,0
"CDIF_SB_1000||CDIF_SB_168","CDIF_SB_1000","CDIF_SB_168",9243,"CDIF_SB_1000","CDIF_SB_168",9243,0,0,0
"CDIF_SB_1000||CDIF_SB_169","CDIF_SB_1000","CDIF_SB_169",9240,"CDIF_SB_1000","CDIF_SB_169",9240,0,0,0
"CDIF_SB_1000||CDIF_SB_171","CDIF_SB_1000","CDIF_SB_171",9240,"CDIF_SB_1000","CDIF_SB_171",9240,0,0,0
"CDIF_SB_1000||CDIF_SB_172","CDIF_SB_1000","CDIF_SB_172",5215,"CDIF_SB_1000","CDIF_SB_172",5215,0,0,0
"CDIF_SB_1000||CDIF_SB_178","CDIF_SB_1000","CDIF_SB_178",9229,"CDIF_SB_1000","CDIF_SB_178",9229,0,0,0
"CDIF_SB_1000||CDIF_SB_180","CDIF_SB_1000","CDIF_SB_180",5215,"CDIF_SB_1000","CDIF_SB_180",5215,0,0,0
"CDIF_SB_1000||CDIF_SB_187","CDIF_SB_1000","CDIF_SB_187",9246,"CDIF_SB_1000","CDIF_SB_187",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_192","CDIF_SB_1000","CDIF_SB_192",9240,"CDIF_SB_1000","CDIF_SB_192",9240,0,0,0
"CDIF_SB_1000||CDIF_SB_194","CDIF_SB_1000","CDIF_SB_194",16572,"CDIF_SB_1000","CDIF_SB_194",16572,0,0,0
"CDIF_SB_1000||CDIF_SB_195","CDIF_SB_1000","CDIF_SB_195",15407,"CDIF_SB_1000","CDIF_SB_195",15407,0,0,0
"CDIF_SB_1000||CDIF_SB_196","CDIF_SB_1000","CDIF_SB_196",9247,"CDIF_SB_1000","CDIF_SB_196",9247,0,0,0
"CDIF_SB_1000||CDIF_SB_197","CDIF_SB_1000","CDIF_SB_197",5133,"CDIF_SB_1000","CDIF_SB_197",5133,0,0,0
"CDIF_SB_1000||CDIF_SB_20","CDIF_SB_1000","CDIF_SB_20",9226,"CDIF_SB_1000","CDIF_SB_20",9226,0,0,0
"CDIF_SB_1000||CDIF_SB_200","CDIF_SB_1000","CDIF_SB_200",9239,"CDIF_SB_1000","CDIF_SB_200",9239,0,0,0
"CDIF_SB_1000||CDIF_SB_208","CDIF_SB_1000","CDIF_SB_208",10661,"CDIF_SB_1000","CDIF_SB_208",10661,0,0,0
"CDIF_SB_1000||CDIF_SB_209","CDIF_SB_1000","CDIF_SB_209",5245,"CDIF_SB_1000","CDIF_SB_209",5245,0,0,0
"CDIF_SB_1000||CDIF_SB_21","CDIF_SB_1000","CDIF_SB_21",6152,"CDIF_SB_1000","CDIF_SB_21",6152,0,0,0
"CDIF_SB_1000||CDIF_SB_213","CDIF_SB_1000","CDIF_SB_213",9244,"CDIF_SB_1000","CDIF_SB_213",9244,0,0,0
"CDIF_SB_1000||CDIF_SB_215","CDIF_SB_1000","CDIF_SB_215",9246,"CDIF_SB_1000","CDIF_SB_215",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_217","CDIF_SB_1000","CDIF_SB_217",6157,"CDIF_SB_1000","CDIF_SB_217",6157,0,0,0
"CDIF_SB_1000||CDIF_SB_235","CDIF_SB_1000","CDIF_SB_235",9243,"CDIF_SB_1000","CDIF_SB_235",9243,0,0,0
"CDIF_SB_1000||CDIF_SB_238","CDIF_SB_1000","CDIF_SB_238",16571,"CDIF_SB_1000","CDIF_SB_238",16571,0,0,0
"CDIF_SB_1000||CDIF_SB_247","CDIF_SB_1000","CDIF_SB_247",9247,"CDIF_SB_1000","CDIF_SB_247",9247,0,0,0
"CDIF_SB_1000||CDIF_SB_257","CDIF_SB_1000","CDIF_SB_257",6729,"CDIF_SB_1000","CDIF_SB_257",6729,0,0,0
"CDIF_SB_1000||CDIF_SB_259","CDIF_SB_1000","CDIF_SB_259",9243,"CDIF_SB_1000","CDIF_SB_259",9243,0,0,0
"CDIF_SB_1000||CDIF_SB_262","CDIF_SB_1000","CDIF_SB_262",1805,"CDIF_SB_1000","CDIF_SB_262",1805,0,0,0
"CDIF_SB_1000||CDIF_SB_267","CDIF_SB_1000","CDIF_SB_267",9229,"CDIF_SB_1000","CDIF_SB_267",9229,0,0,0
"CDIF_SB_1000||CDIF_SB_27","CDIF_SB_1000","CDIF_SB_27",6153,"CDIF_SB_1000","CDIF_SB_27",6153,0,0,0
"CDIF_SB_1000||CDIF_SB_276","CDIF_SB_1000","CDIF_SB_276",6976,"CDIF_SB_1000","CDIF_SB_276",6976,0,0,0
"CDIF_SB_1000||CDIF_SB_281","CDIF_SB_1000","CDIF_SB_281",12,"CDIF_SB_1000","CDIF_SB_281",12,0,0,0
"CDIF_SB_1000||CDIF_SB_286","CDIF_SB_1000","CDIF_SB_286",9231,"CDIF_SB_1000","CDIF_SB_286",9231,0,0,0
"CDIF_SB_1000||CDIF_SB_290","CDIF_SB_1000","CDIF_SB_290",16219,"CDIF_SB_1000","CDIF_SB_290",16219,0,0,0
"CDIF_SB_1000||CDIF_SB_295","CDIF_SB_1000","CDIF_SB_295",9214,"CDIF_SB_1000","CDIF_SB_295",9214,0,0,0
"CDIF_SB_1000||CDIF_SB_318","CDIF_SB_1000","CDIF_SB_318",5437,"CDIF_SB_1000","CDIF_SB_318",5437,0,0,0
"CDIF_SB_1000||CDIF_SB_322","CDIF_SB_1000","CDIF_SB_322",10658,"CDIF_SB_1000","CDIF_SB_322",10658,0,0,0
"CDIF_SB_1000||CDIF_SB_325","CDIF_SB_1000","CDIF_SB_325",9244,"CDIF_SB_1000","CDIF_SB_325",9244,0,0,0
"CDIF_SB_1000||CDIF_SB_342","CDIF_SB_1000","CDIF_SB_342",15237,"CDIF_SB_1000","CDIF_SB_342",15237,0,0,0
"CDIF_SB_1000||CDIF_SB_345","CDIF_SB_1000","CDIF_SB_345",16235,"CDIF_SB_1000","CDIF_SB_345",16235,0,0,0
"CDIF_SB_1000||CDIF_SB_349","CDIF_SB_1000","CDIF_SB_349",9239,"CDIF_SB_1000","CDIF_SB_349",9239,0,0,0
"CDIF_SB_1000||CDIF_SB_359","CDIF_SB_1000","CDIF_SB_359",6976,"CDIF_SB_1000","CDIF_SB_359",6976,0,0,0
"CDIF_SB_1000||CDIF_SB_361","CDIF_SB_1000","CDIF_SB_361",9246,"CDIF_SB_1000","CDIF_SB_361",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_365","CDIF_SB_1000","CDIF_SB_365",9246,"CDIF_SB_1000","CDIF_SB_365",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_374","CDIF_SB_1000","CDIF_SB_374",6134,"CDIF_SB_1000","CDIF_SB_374",6134,0,0,0
"CDIF_SB_1000||CDIF_SB_38","CDIF_SB_1000","CDIF_SB_38",9246,"CDIF_SB_1000","CDIF_SB_38",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_385","CDIF_SB_1000","CDIF_SB_385",16259,"CDIF_SB_1000","CDIF_SB_385",16259,0,0,0
"CDIF_SB_1000||CDIF_SB_392","CDIF_SB_1000","CDIF_SB_392",6981,"CDIF_SB_1000","CDIF_SB_392",6981,0,0,0
"CDIF_SB_1000||CDIF_SB_402","CDIF_SB_1000","CDIF_SB_402",10933,"CDIF_SB_1000","CDIF_SB_402",10933,0,0,0
"CDIF_SB_1000||CDIF_SB_403","CDIF_SB_1000","CDIF_SB_403",9247,"CDIF_SB_1000","CDIF_SB_403",9247,0,0,0
"CDIF_SB_1000||CDIF_SB_406","CDIF_SB_1000","CDIF_SB_406",9227,"CDIF_SB_1000","CDIF_SB_406",9227,0,0,0
"CDIF_SB_1000||CDIF_SB_414","CDIF_SB_1000","CDIF_SB_414",16570,"CDIF_SB_1000","CDIF_SB_414",16570,0,0,0
"CDIF_SB_1000||CDIF_SB_42","CDIF_SB_1000","CDIF_SB_42",9246,"CDIF_SB_1000","CDIF_SB_42",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_442","CDIF_SB_1000","CDIF_SB_442",9214,"CDIF_SB_1000","CDIF_SB_442",9214,0,0,0
"CDIF_SB_1000||CDIF_SB_444","CDIF_SB_1000","CDIF_SB_444",10227,"CDIF_SB_1000","CDIF_SB_444",10227,0,0,0
"CDIF_SB_1000||CDIF_SB_455","CDIF_SB_1000","CDIF_SB_455",9246,"CDIF_SB_1000","CDIF_SB_455",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_457","CDIF_SB_1000","CDIF_SB_457",8000,"CDIF_SB_1000","CDIF_SB_457",8000,0,0,0
"CDIF_SB_1000||CDIF_SB_47","CDIF_SB_1000","CDIF_SB_47",5098,"CDIF_SB_1000","CDIF_SB_47",5098,0,0,0
"CDIF_SB_1000||CDIF_SB_478","CDIF_SB_1000","CDIF_SB_478",9228,"CDIF_SB_1000","CDIF_SB_478",9228,0,0,0
"CDIF_SB_1000||CDIF_SB_49","CDIF_SB_1000","CDIF_SB_49",9238,"CDIF_SB_1000","CDIF_SB_49",9238,0,0,0
"CDIF_SB_1000||CDIF_SB_490","CDIF_SB_1000","CDIF_SB_490",9249,"CDIF_SB_1000","CDIF_SB_490",9249,0,0,0
"CDIF_SB_1000||CDIF_SB_493","CDIF_SB_1000","CDIF_SB_493",16259,"CDIF_SB_1000","CDIF_SB_493",16259,0,0,0
"CDIF_SB_1000||CDIF_SB_5","CDIF_SB_1000","CDIF_SB_5",6730,"CDIF_SB_1000","CDIF_SB_5",6730,0,0,0
"CDIF_SB_1000||CDIF_SB_50","CDIF_SB_1000","CDIF_SB_50",6733,"CDIF_SB_1000","CDIF_SB_50",6733,0,0,0
"CDIF_SB_1000||CDIF_SB_507","CDIF_SB_1000","CDIF_SB_507",9525,"CDIF_SB_1000","CDIF_SB_507",9525,0,0,0
"CDIF_SB_1000||CDIF_SB_513","CDIF_SB_1000","CDIF_SB_513",9242,"CDIF_SB_1000","CDIF_SB_513",9242,0,0,0
"CDIF_SB_1000||CDIF_SB_515","CDIF_SB_1000","CDIF_SB_515",5093,"CDIF_SB_1000","CDIF_SB_515",5093,0,0,0
"CDIF_SB_1000||CDIF_SB_523","CDIF_SB_1000","CDIF_SB_523",9239,"CDIF_SB_1000","CDIF_SB_523",9239,0,0,0
"CDIF_SB_1000||CDIF_SB_533","CDIF_SB_1000","CDIF_SB_533",6775,"CDIF_SB_1000","CDIF_SB_533",6775,0,0,0
"CDIF_SB_1000||CDIF_SB_544","CDIF_SB_1000","CDIF_SB_544",6848,"CDIF_SB_1000","CDIF_SB_544",6848,0,0,0
"CDIF_SB_1000||CDIF_SB_550","CDIF_SB_1000","CDIF_SB_550",9244,"CDIF_SB_1000","CDIF_SB_550",9244,0,0,0
"CDIF_SB_1000||CDIF_SB_552","CDIF_SB_1000","CDIF_SB_552",11232,"CDIF_SB_1000","CDIF_SB_552",11232,0,0,0
"CDIF_SB_1000||CDIF_SB_553","CDIF_SB_1000","CDIF_SB_553",7,"CDIF_SB_1000","CDIF_SB_553",7,0,0,0
"CDIF_SB_1000||CDIF_SB_565","CDIF_SB_1000","CDIF_SB_565",6733,"CDIF_SB_1000","CDIF_SB_565",6733,0,0,0
"CDIF_SB_1000||CDIF_SB_568","CDIF_SB_1000","CDIF_SB_568",9238,"CDIF_SB_1000","CDIF_SB_568",9238,0,0,0
"CDIF_SB_1000||CDIF_SB_573","CDIF_SB_1000","CDIF_SB_573",9258,"CDIF_SB_1000","CDIF_SB_573",9258,0,0,0
"CDIF_SB_1000||CDIF_SB_58","CDIF_SB_1000","CDIF_SB_58",9242,"CDIF_SB_1000","CDIF_SB_58",9242,0,0,0
"CDIF_SB_1000||CDIF_SB_580","CDIF_SB_1000","CDIF_SB_580",5902,"CDIF_SB_1000","CDIF_SB_580",5902,0,0,0
